# 252c250e-67f1-4e66-b0dc-a54ba53a4bc2
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
89637.2858480; 43159.2923174; 2.8752013; 2.8609533; 0.8442893; 0.5358877; 0.7670202; 144.4817937; 0.5840628; 0.0025780; 14.1396438; 4.4428971
89635.6645869; 43161.8373189; 2.8480590; 2.8405161; 0.8422152; 0.5391414; 0.7014106; 147.5028844; 0.6013697; 0.0091644; 15.0574794; 4.1937678
89634.0259989; 43164.3783756; 2.8644498; 2.8262196; 0.8383100; 0.5451938; 0.5754802; 150.5338022; 0.6408609; 0.0166341; 15.7548268; -1.2132593
89632.3603504; 43166.9117515; 2.8874477; 2.8786872; 0.8325114; 0.5540079; 0.3334095; 153.5804278; 0.6950047; 0.0181414; 15.4275621; -5.7433426
89630.6578273; 43169.4335998; 2.6670989; 2.6504709; 0.8247772; 0.5654578; -0.0320031; 156.6472512; 0.7350180; 0.0113953; 14.2358172; -8.6788506
89628.8255599; 43171.8249289; 2.5708180; 2.7706547; 0.7305195; 0.6828919; -0.3515191; 159.6413487; 0.8161607; 0.0483442; 12.3496947; -8.3050023
89626.5318375; 43173.6355249; 2.4974952; 2.4147504; 0.4798835; 0.8773322; -0.3147504; 162.4627290; 1.0204154; 0.0612270; 10.3663934; -4.8727662
89623.7141364; 43174.7622916; 2.1842950; 2.0641392; 0.3292377; 0.9442471; 0.0842951; 165.4907200; 1.0797755; -0.0211813; 8.8318009; -6.0183513
89621.0331261; 43176.0456283; 2.8708358; 3.1495955; 0.6002028; 0.7998479; 0.3861614; 168.3973228; 0.8360370; -0.1360258; 6.9644664; -1.2398618
89619.2343507; 43178.4296790; 3.3488867; 3.3432307; 0.9365506; 0.3505325; 0.2181948; 171.2383583; 0.5539989; -0.1384494; 6.6039787; -0.8299393
89619.0446771; 43181.3917706; 3.6931144; 3.6753904; 0.9732826; -0.2296105; -0.4668460; 174.3793265; 0.1104686; -0.1743729; 6.2809546; -0.0552041
89620.3583353; 43183.9734646; 3.5056276; 3.8837559; 0.7966046; -0.6045007; -1.1983640; 177.7153053; -0.5175118; -0.1418392; 6.5226026; 1.1726017
89622.4276111; 43186.1035053; 3.7353171; 3.4524402; 0.6317146; -0.7752010; -1.3524396; 181.0194877; -0.9329721; -0.1369079; 7.0543533; 1.8785715
89624.9715193; 43187.7727738; 3.6345305; 3.5427733; 0.4670260; -0.8842436; -0.7765618; 184.3475168; -1.3063579; -0.1089416; 7.8648777; 0.9550652
89627.9043252; 43188.9262588; 3.7937482; 3.3438592; 0.2431046; -0.9700001; 0.2639792; 187.7255434; -1.6731742; -0.1016913; 7.9751789; 1.6810564
89630.7777441; 43189.0433094; 3.3737215; 3.3753471; -0.2516340; -0.9678225; 1.0153520; 190.3621653; -1.9151351; -0.1357486; 8.3910561; 1.5945844
89633.1195775; 43187.6257456; 3.1029464; 3.4491753; -0.6887272; -0.7250206; 1.0029465; 192.6008330; -2.2197840; -0.0266598; 8.9345918; 2.1275247
89635.0856158; 43185.2229836; 3.2041775; 3.3144397; -0.8151472; -0.5792538; 0.3539337; 195.6252579; -2.2627815; -0.0049666; 9.4936015; -3.2882983
89637.0130921; 43182.6870412; 3.4561930; 3.2532835; -0.7506311; -0.6607215; -0.4394911; 198.8885642; -2.1977407; 0.0598667; 8.4355107; -1.2870754
89639.2390204; 43180.8695123; 3.4592067; 3.1846170; -0.4323957; -0.9016840; -0.8975813; 201.5229013; -1.9005140; 0.1383724; 7.9797272; -1.2172327
89641.9501128; 43180.3342974; 3.0403871; 2.9350348; 0.0140964; -0.9999006; -0.8350348; 203.8989135; -1.6505234; 0.0913786; 7.6718745; 1.4232754
89644.9253862; 43180.8649258; 3.0709230; 2.9452673; 0.3020436; -0.9532941; -0.4430816; 206.7608528; -1.4067874; 0.0791461; 8.2584527; 2.8612314
89647.8753960; 43182.1138847; 3.4132323; 3.4646779; 0.4655075; -0.8850440; 0.0030583; 209.9590170; -1.2274055; 0.0467023; 9.2762555; 2.1931766
89650.5144888; 43183.7348497; 3.5394686; 3.4896273; 0.5749257; -0.8182056; 0.4499747; 213.1174185; -1.1180007; 0.0265713; 9.9539867; -2.3921856
89652.8361870; 43185.4690252; 3.3985213; 3.4169642; 0.6023131; -0.7982599; 0.8977488; 216.0672504; -1.0625467; 0.0084717; 8.9049217; -6.0571870
89655.2926289; 43187.1957939; 3.3493376; 3.2092418; 0.5362758; -0.8440428; 1.2493373; 219.0029026; -1.1171873; -0.0525327; 6.6216229; -1.8715995
89658.0372261; 43188.4180504; 3.7072250; 4.1768606; 0.1787524; -0.9838941; 1.4303158; 221.4943898; -1.4006654; -0.2132127; 5.9003142; -1.5633681
89660.7256368; 43188.1067934; 4.3490047; 3.9552863; -0.4163642; -0.9091979; 1.2053509; 223.4490176; -1.9184577; -0.2060938; 5.4260793; -0.5595125
89662.9542135; 43186.0937330; 3.7570233; 3.2690244; -0.8185013; -0.5745046; 0.6363851; 226.0293175; -2.3009936; -0.1871571; 5.2179870; 0.1871277
89664.2972762; 43183.1910673; 3.8304718; 3.9128198; -0.9692388; -0.2461222; 0.2573709; 229.1190134; -2.7822661; -0.1643518; 5.3848124; 0.6564749
89664.3280434; 43180.2600246; 4.1414377; 4.1493561; -0.9498540; 0.3126938; 0.1796187; 231.9733181; 2.8934118; -0.2557934; 5.7864153; 1.2758371
89662.7105359; 43178.0721899; 3.6387864; 3.4923242; -0.6295054; 0.7769961; 0.0857086; 234.6584814; 2.2422373; -0.1381013; 6.4812591; 2.3763748
89660.0322125; 43176.4875029; 3.4120457; 3.4446090; -0.4668420; 0.8843407; 0.0185594; 237.7635589; 2.0536215; -0.0115645; 7.5433724; 2.0191970
89657.2886491; 43174.9562898; 3.4103932; 3.3830288; -0.4827061; 0.8757824; 0.1699281; 240.9090174; 2.0040878; -0.0230221; 8.3321405; 2.4856327
89654.5982959; 43173.7493250; 3.3485708; 3.1276525; -0.2828315; 0.9591696; 0.3167649; 243.8074320; 1.8522394; -0.0779648; 9.1807400; -6.2514271
89651.7596000; 43173.2528368; 2.8899728; 2.8574419; -0.1299430; 0.9915215; 0.1348247; 246.6536336; 1.8337726; 0.0588361; 7.1564851; -1.2469923
89648.8232403; 43172.6245494; 3.1714328; 2.7518422; -0.3396884; 0.9405380; -0.3773293; 249.6711753; 2.1518358; 0.1402501; 6.6274156; -1.1596022
89646.1157316; 43170.9189127; 3.5965828; 3.1794496; -0.7076428; 0.7065704; -0.9175051; 252.6487339; 2.5171570; 0.1479451; 6.1037788; -0.8112618
89644.7121906; 43168.4050196; 3.7300579; 3.2077151; -0.9911368; 0.1328450; -1.1077151; 254.8985311; 2.9485278; 0.2568099; 5.8351732; 2.7433256
89645.3572097; 43165.6882329; 3.2193627; 3.7888103; -0.8752459; -0.4836783; -0.6931872; 257.1559981; -2.9330434; 0.1295614; 6.7797989; 2.5308213
89647.2812135; 43163.4850519; 3.5613425; 3.2011596; -0.6029646; -0.7977680; 0.2415117; 260.1405717; -2.6060351; 0.1319202; 7.7467429; 1.9251287
89649.7188448; 43162.1432371; 3.2464234; 3.5618087; -0.3890715; -0.9212076; 1.0811012; 263.2075863; -2.2010750; 0.1231101; 8.4288647; 1.5081514
89652.5788697; 43161.0818715; 3.3892835; 3.5822661; -0.3323531; -0.9431550; 1.2892836; 266.3457481; -1.8303596; 0.0684971; 9.0407224; 1.0095362
89655.7296038; 43160.0145269; 3.3776332; 3.5496023; -0.2856371; -0.9583378; 0.7269347; 269.7726669; -1.5759860; 0.0997605; 9.3603310; -1.3006341
89658.7887009; 43159.4295125; 3.3149482; 3.3485878; -0.0502208; -0.9987381; -0.3620079; 273.1046128; -1.2914022; 0.1191789; 8.9406093; -5.2265778
89661.3476774; 43159.8959212; 3.3113868; 3.2079840; 0.5047469; -0.8632674; -1.1079841; 275.3661269; -0.8238038; 0.1867651; 6.8502853; -3.8893046
89663.0065522; 43161.9483309; 3.1383431; 3.4405507; 0.9088927; -0.4170300; -0.9825056; 277.3808199; -0.5575607; 0.0653808; 6.1767911; 3.7124354
89663.6140723; 43165.1116402; 3.3141244; 2.8862133; 0.9970671; 0.0765321; -0.0626543; 280.4887022; -0.3270204; 0.0834734; 7.4713503; -5.1475705
89663.4671384; 43167.8487773; 3.7485771; 4.4914950; 0.9672275; -0.2539114; 0.9401746; 283.1262367; -0.3742402; -0.2457529; 6.0242205; -2.4510946
89665.0100134; 43169.8372032; 3.3529481; 2.9834306; 0.6006114; -0.7995411; 1.2529481; 285.0116163; -1.0494150; -0.0672873; 5.3172389; -0.4777981
89668.0440291; 43171.2286296; 3.2434367; 3.1786092; 0.2615645; -0.9651860; 1.1434367; 287.8983198; -1.1798305; -0.0875944; 5.1409256; 1.9480489
89671.0325362; 43171.4110029; 3.3281986; 3.2033920; -0.2766207; -0.9609792; 0.8391071; 290.4241060; -1.7245850; -0.2374172; 6.3492549; 3.2663153
89673.3075953; 43169.7840337; 3.0616081; 3.2106406; -0.7577649; -0.6525276; 0.0976743; 293.0412371; -2.1097977; -0.1416183; 7.3389055; 2.8686954
89675.0557535; 43167.2047285; 3.1436846; 3.2659333; -0.8483834; -0.5293823; -0.7704081; 296.2985748; -2.3425093; -0.0411958; 8.4125283; 2.8379308
89676.6909649; 43164.7405943; 3.3440426; 3.2068746; -0.8246367; -0.5656628; -1.1068746; 299.2408341; -2.5097231; -0.0767379; 9.3739590; 2.7199395
89678.3541962; 43162.2960150; 3.4999492; 3.2253636; -0.8326431; -0.5538100; -0.7941998; 302.2315749; -2.7179749; -0.0578697; 10.1849731; 1.7480492
89679.9178640; 43159.6191888; 3.2662186; 4.1106019; -0.9085360; -0.4178065; -0.0705643; 305.4721744; -2.9865331; -0.0961453; 10.5235047; -3.1807950
89680.6531861; 43156.8263043; 2.9461856; 2.8994206; -0.9995581; -0.0297249; 0.5595900; 308.3253881; 2.9426518; -0.1420865; 9.5397070; -4.1201031
89680.0822894; 43154.0900632; 2.9043148; 2.7931229; -0.9189043; 0.3944806; 0.8043148; 310.8536010; 2.6934237; -0.0937318; 8.6560228; -1.2131426
89678.4734157; 43151.5592255; 2.9536758; 3.4194439; -0.7633024; 0.6460414; 0.8536759; 313.6167744; 2.3991274; -0.1037662; 8.2736576; -0.7379295
89676.1866601; 43149.3796039; 3.2810538; 3.4684351; -0.6167388; 0.7871679; 1.0189841; 316.5997120; 2.1303993; -0.0803129; 8.0797073; 2.4256064
89673.5768648; 43147.6987364; 3.5056283; 3.2389636; -0.4557715; 0.8900968; 1.3068440; 319.4993104; 1.9390211; -0.0560387; 8.9365680; 1.8304650
89670.8349058; 43146.7180121; 3.6117944; 3.5961170; -0.1791019; 0.9838305; 1.3999595; 322.0186160; 1.8133894; -0.0657289; 9.3413755; 1.5754825
89667.9597394; 43146.6681657; 3.1682618; 3.1550027; 0.1135920; 0.9935275; 1.0682618; 324.5510487; 1.6307805; -0.0372851; 9.6447125; -5.4810676
89664.9457692; 43147.1460367; 3.2018505; 3.1986492; 0.1344073; 0.9909262; 0.4062359; 327.6373880; 1.6767548; 0.0536010; 7.9280603; -2.4565033
89661.8260443; 43147.2117428; 3.1691877; 3.2938633; -0.1142745; 0.9934492; -0.2946833; 330.8470716; 1.8887301; 0.1022501; 6.9802290; -1.2508156
89659.0414660; 43146.2962604; 3.0448786; 2.8847519; -0.5547716; 0.8320027; -0.7847519; 333.5650217; 2.3043819; 0.1882520; 6.5094108; 0.5420072
89657.2361537; 43144.1669068; 2.8470162; 3.0573081; -0.8959358; 0.4441836; -0.8886177; 335.9468018; 2.6556389; 0.1306285; 6.6747829; 2.1400499
89656.4335758; 43141.2256289; 2.8278880; 2.7860668; -0.9926917; 0.1206781; -0.6860667; 338.7377855; 2.9136921; 0.0655276; 7.7040065; 2.6692365
89656.3343210; 43138.1293480; 2.5044125; 2.4567858; -0.9989166; -0.0465354; -0.3392942; 341.7708255; 3.0668500; 0.0394338; 8.7199440; 2.4572839
89656.6285109; 43135.0767072; 2.4084369; 2.5802068; -0.9918582; -0.1273476; 0.0474833; 344.8474069; 3.1408517; 0.0101914; 9.5515782; -2.0498293
89657.0030494; 43132.0767903; 2.7401732; 2.6301003; -0.9946354; -0.1034429; 0.4368748; 347.8866188; 3.1168154; -0.0275943; 8.8251523; -0.2521656
